Time,Data
0 sec,30.6697714850944
0.001 sec,29.2589457634314
0.002 sec,30.121811722262
0.003 sec,34.2661204690201
0.004 sec,36.408503144474
0.005 sec,38.8572974514804
0.006 sec,38.2717722533281
0.007 sec,39.0382294370821
0.008 sec,42.6361226473843
0.009 sec,42.264453741108
0.01 sec,42.811974794427
0.011 sec,42.1114795018075
0.012 sec,39.3924071798905
0.013 sec,39.7942361244972
0.014 sec,37.2316098415913
0.015 sec,34.3476009609509
0.016 sec,43.7395315831722
0.017 sec,40.5442635447786
0.018 sec,40.2254553511491
0.019 sec,40.9969629856625
0.02 sec,38.0617345520186
0.021 sec,38.2088219756802
0.022 sec,34.5782720323239
0.023 sec,32.5412945456319
0.024 sec,34.0350203305046
0.025 sec,35.9044773647505
0.026 sec,37.9321242939381
0.027 sec,39.2797831375883
0.028 sec,39.047352025906
0.029 sec,40.829840374784
0.03 sec,41.6885458785758
0.031 sec,40.6122800533659
0.032 sec,40.9835581332969
0.033 sec,40.2568396203463
0.034 sec,37.7012662259994
0.035 sec,35.5356110577363
0.036 sec,34.7805738318358
0.037 sec,30.1788297453427
0.038 sec,34.9831798677842
0.039 sec,35.6944451474158
0.04 sec,34.8572753705516
0.041 sec,32.0291480425852
0.042 sec,32.1279424625433
0.043 sec,29.0931517964772
0.044 sec,26.698132650265
0.045 sec,28.2814197885981
0.046 sec,30.2041617515282
0.047 sec,32.0017756648949
0.048 sec,32.464219845898
0.049 sec,35.2038054004312
0.05 sec,34.7969286366023
0.051 sec,35.0583181932738
0.052 sec,34.6852127695542
0.053 sec,35.5048811122957
0.054 sec,33.2663561337266
0.055 sec,33.2902514456523
0.056 sec,29.7565559741136
0.057 sec,28.0364618063374
0.058 sec,36.4177416273636
0.059 sec,36.9644353928915
0.06 sec,35.493469456564
0.061 sec,32.523494525463
0.062 sec,33.0048263359834
0.063 sec,32.4378275961212
0.064 sec,29.0186446201609
0.065 sec,30.3909068250133
0.066 sec,34.5496196163076
0.067 sec,35.8212509419668
0.068 sec,37.4617006621602
0.069 sec,38.9488783004757
0.07 sec,38.7537400064538
0.071 sec,39.3163033320089
0.072 sec,42.6921853431317
0.073 sec,40.6777764800861
0.074 sec,41.6284363585153
0.075 sec,40.4873753035056
0.076 sec,38.0736792677466
0.077 sec,35.3060119190873
0.078 sec,32.3299519079906
0.079 sec,40.9775760678775
0.08 sec,40.7749541521386
0.081 sec,39.7047922345166
0.082 sec,37.9483617806693
0.083 sec,36.0328389089036
0.084 sec,36.4472426813521
0.085 sec,35.3831698373696
0.086 sec,31.7412944872636
0.087 sec,33.8746669349402
0.088 sec,35.7345074736648
0.089 sec,36.5445868658855
0.09 sec,37.1560287728548
0.091 sec,40.4164884447537
0.092 sec,40.4141030449018
0.093 sec,41.698147670805
0.094 sec,41.9042502669728
0.095 sec,41.4140251086286
0.096 sec,40.1884581686851
0.097 sec,38.5645576652266
0.098 sec,37.6276992416481
0.099 sec,32.8976596985322
0.1 sec,31.8302843693666
0.101 sec,35.9594112745777
0.102 sec,34.8292431101879
0.103 sec,33.9570708562707
0.104 sec,34.3970684052929
0.105 sec,29.8022136116337
0.106 sec,29.6388398115728
0.107 sec,27.2239214748167
0.108 sec,27.4339455291442
0.109 sec,29.8967931024072
0.11 sec,32.4951782400585
0.111 sec,33.0290012110649
0.112 sec,37.8267187944023
0.113 sec,36.0085159947793
0.114 sec,38.0278857208746
0.115 sec,34.4216260587408
0.116 sec,34.907436503735
0.117 sec,32.9463068383859
0.118 sec,31.9842126221664
0.119 sec,29.7247155332763
0.12 sec,28.8571645939276
0.121 sec,37.2281951711208
0.122 sec,34.0318136686616
0.123 sec,33.401548493038
0.124 sec,32.7723611618148
0.125 sec,31.89059305058
0.126 sec,29.4711068375932
0.127 sec,29.6260673851257
0.128 sec,30.9870180849199
0.129 sec,36.3212526417884
0.13 sec,36.307813313006
0.131 sec,37.9815388829771
0.132 sec,37.9191549839677
0.133 sec,40.8311661024671
0.134 sec,41.3804750460443
0.135 sec,41.4364978634757
0.136 sec,40.3362657592988
0.137 sec,39.6713311090543
0.138 sec,38.1136972034483
0.139 sec,38.6528091692199
0.14 sec,34.2798945621988
0.141 sec,32.4377711802239
0.142 sec,39.9567309545523
0.143 sec,41.5730929552193
0.144 sec,41.6401613528466
0.145 sec,36.8371750897118
0.146 sec,38.3486024166006
0.147 sec,36.359705169619
0.148 sec,34.6859018270014
0.149 sec,30.598302087979
0.15 sec,33.0236905502041
0.151 sec,37.2449249699895
0.152 sec,37.9917764442881
0.153 sec,38.6298639252855
0.154 sec,41.1880562374415
0.155 sec,39.78234793249
0.156 sec,41.0498189916438
0.157 sec,41.638887650371
0.158 sec,41.6712246084583
0.159 sec,40.9824605867941
0.16 sec,37.3916548916408
0.161 sec,34.7035648678701
