Time,Data
0 sec,40.0147017023702
0.001 sec,35.380463701212
0.002 sec,33.2728490452902
0.003 sec,32.9704078689491
0.004 sec,33.1366737198607
0.005 sec,34.5832168088841
0.006 sec,37.824095100236
0.007 sec,40.3484280226528
0.008 sec,41.2423121652921
0.009 sec,40.4519424867815
0.01 sec,42.0805714757422
0.011 sec,41.3631204580357
0.012 sec,41.0713334982236
0.013 sec,40.9730976884859
0.014 sec,39.2116213690571
0.015 sec,37.0422615752903
0.016 sec,34.0041091245014
0.017 sec,42.208039464787
0.018 sec,41.5405254922177
0.019 sec,39.5387681366415
0.02 sec,40.1530016524142
0.021 sec,37.9965800247235
0.022 sec,37.2562249033201
0.023 sec,33.1029952392393
0.024 sec,30.482700139751
0.025 sec,32.9158631456713
0.026 sec,35.9574151608722
0.027 sec,37.1683060722687
0.028 sec,39.2572488826928
0.029 sec,39.270841844808
0.03 sec,42.3159240105534
0.031 sec,43.9369673773921
0.032 sec,43.2000141461071
0.033 sec,43.2536568182123
0.034 sec,39.7758060583473
0.035 sec,36.8354938215486
0.036 sec,35.5212444650418
0.037 sec,33.1802364991737
0.038 sec,31.6089598543865
0.039 sec,26.1432303458413
0.04 sec,40.6995629798315
0.041 sec,38.7496534817391
0.042 sec,38.342790584999
0.043 sec,35.5104085211218
0.044 sec,34.6010900578497
0.045 sec,32.5032262750049
0.046 sec,36.1828225948108
0.047 sec,37.2469193301522
0.048 sec,36.3699966946643
0.049 sec,40.0000554742278
0.05 sec,39.5684080401502
0.051 sec,40.3018701574933
0.052 sec,40.1778650206384
0.053 sec,42.1190450413766
0.054 sec,40.2187740566632
0.055 sec,41.2860520409622
0.056 sec,38.2105261351968
0.057 sec,38.8490493526264
0.058 sec,33.6348410446323
0.059 sec,40.1192680090048
0.06 sec,40.358337398079
0.061 sec,40.3556399062791
0.062 sec,39.3696263751404
0.063 sec,37.3969775428273
0.064 sec,35.5797631156921
0.065 sec,34.609843850519
0.066 sec,32.2529193336885
0.067 sec,34.0503955205573
0.068 sec,36.2214445979693
0.069 sec,38.7098147958972
0.07 sec,40.2126041366471
